UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Category Marker,Unit,Value
10007143,University of Durham,England,North East,2014/15,SME,£000s,5.0
10007143,University of Durham,England,North East,2014/15,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2014/15,Non-commercial organisations,£000s,423.0
10007143,University of Durham,England,North East,2014/15,CE and CPD for individuals,£000s,191.0
10007143,University of Durham,England,North East,2014/15,Total revenue,£000s,619.0
10007143,University of Durham,England,North East,2014/15,Total learner days of CPD/CE courses delivered,Days,5840.0
10007143,University of Durham,England,North East,2015/16,SME,£000s,2.0
10007143,University of Durham,England,North East,2015/16,Other (non-SME) commercial businesses,£000s,122.0
10007143,University of Durham,England,North East,2015/16,Non-commercial organisations,£000s,342.0
10007143,University of Durham,England,North East,2015/16,CE and CPD for individuals,£000s,260.0
10007143,University of Durham,England,North East,2015/16,Total revenue,£000s,726.0
10007143,University of Durham,England,North East,2015/16,Total learner days of CPD/CE courses delivered,Days,4388.0
10007143,University of Durham,England,North East,2016/17,SME,£000s,8.0
10007143,University of Durham,England,North East,2016/17,Other (non-SME) commercial businesses,£000s,4.0
10007143,University of Durham,England,North East,2016/17,Non-commercial organisations,£000s,684.0
10007143,University of Durham,England,North East,2016/17,CE and CPD for individuals,£000s,455.0
10007143,University of Durham,England,North East,2016/17,Total revenue,£000s,1151.0
10007143,University of Durham,England,North East,2016/17,Total learner days of CPD/CE courses delivered,Days,9457.0
10007143,University of Durham,England,North East,2017/18,SME,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Non-commercial organisations,£000s,521.0
10007143,University of Durham,England,North East,2017/18,CE and CPD for individuals,£000s,22.0
10007143,University of Durham,England,North East,2017/18,Total revenue,£000s,543.0
10007143,University of Durham,England,North East,2017/18,Total learner days of CPD/CE courses delivered,Days,9544.0
10007143,University of Durham,England,North East,2018/19,SME,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Other (non-SME) commercial businesses,£000s,703.0
10007143,University of Durham,England,North East,2018/19,Non-commercial organisations,£000s,222.0
10007143,University of Durham,England,North East,2018/19,CE and CPD for individuals,£000s,300.0
10007143,University of Durham,England,North East,2018/19,Total revenue,£000s,1225.0
10007143,University of Durham,England,North East,2018/19,Total learner days of CPD/CE courses delivered,Days,15834.0
10007143,University of Durham,England,North East,2019/20,SME,£000s,40.0
10007143,University of Durham,England,North East,2019/20,Other (non-SME) commercial businesses,£000s,199.0
10007143,University of Durham,England,North East,2019/20,Non-commercial organisations,£000s,214.0
10007143,University of Durham,England,North East,2019/20,CE and CPD for individuals,£000s,237.0
10007143,University of Durham,England,North East,2019/20,Total revenue,£000s,690.0
10007143,University of Durham,England,North East,2019/20,Total learner days of CPD/CE courses delivered,Days,19770.0
10007143,University of Durham,England,North East,2020/21,SME,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Non-commercial organisations,£000s,671.0
10007143,University of Durham,England,North East,2020/21,CE and CPD for individuals,£000s,153.0
10007143,University of Durham,England,North East,2020/21,Total revenue,£000s,824.0
10007143,University of Durham,England,North East,2020/21,Total learner days of CPD/CE courses delivered,Days,6140.0
10007143,University of Durham,England,North East,2021/22,SME,£000s,0.0
10007143,University of Durham,England,North East,2021/22,Other (non-SME) commercial businesses,£000s,26.0
10007143,University of Durham,England,North East,2021/22,Non-commercial organisations,£000s,245.0
10007143,University of Durham,England,North East,2021/22,CE and CPD for individuals,£000s,151.0
10007143,University of Durham,England,North East,2021/22,Total revenue,£000s,422.0
10007143,University of Durham,England,North East,2021/22,Total learner days of CPD/CE courses delivered,Days,9491.0
10007143,University of Durham,England,North East,2022/23,SME,£000s,1.0
10007143,University of Durham,England,North East,2022/23,Other (non-SME) commercial businesses,£000s,162.0
10007143,University of Durham,England,North East,2022/23,Non-commercial organisations,£000s,475.0
10007143,University of Durham,England,North East,2022/23,CE and CPD for individuals,£000s,342.0
10007143,University of Durham,England,North East,2022/23,Total revenue,£000s,980.0
10007143,University of Durham,England,North East,2022/23,Total learner days of CPD/CE courses delivered,Days,9965.0
10007143,University of Durham,England,North East,2023/24,SME,£000s,0.0
10007143,University of Durham,England,North East,2023/24,Other (non-SME) commercial businesses,£000s,305.0
10007143,University of Durham,England,North East,2023/24,Non-commercial organisations,£000s,629.0
10007143,University of Durham,England,North East,2023/24,CE and CPD for individuals,£000s,243.0
10007143,University of Durham,England,North East,2023/24,Total revenue,£000s,1177.0
10007143,University of Durham,England,North East,2023/24,Total learner days of CPD/CE courses delivered,Days,7761.0
10007799,Newcastle University,England,North East,2014/15,SME,£000s,6.0
10007799,Newcastle University,England,North East,2014/15,Other (non-SME) commercial businesses,£000s,200.0
10007799,Newcastle University,England,North East,2014/15,Non-commercial organisations,£000s,1189.0
10007799,Newcastle University,England,North East,2014/15,CE and CPD for individuals,£000s,900.0
10007799,Newcastle University,England,North East,2014/15,Total revenue,£000s,2295.0
10007799,Newcastle University,England,North East,2014/15,Total learner days of CPD/CE courses delivered,Days,18965.0
10007799,Newcastle University,England,North East,2015/16,SME,£000s,13.0
10007799,Newcastle University,England,North East,2015/16,Other (non-SME) commercial businesses,£000s,216.0
10007799,Newcastle University,England,North East,2015/16,Non-commercial organisations,£000s,1384.0
10007799,Newcastle University,England,North East,2015/16,CE and CPD for individuals,£000s,838.0
10007799,Newcastle University,England,North East,2015/16,Total revenue,£000s,2451.0
10007799,Newcastle University,England,North East,2015/16,Total learner days of CPD/CE courses delivered,Days,15465.0
10007799,Newcastle University,England,North East,2016/17,SME,£000s,17.0
10007799,Newcastle University,England,North East,2016/17,Other (non-SME) commercial businesses,£000s,412.0
10007799,Newcastle University,England,North East,2016/17,Non-commercial organisations,£000s,1838.0
10007799,Newcastle University,England,North East,2016/17,CE and CPD for individuals,£000s,832.0
10007799,Newcastle University,England,North East,2016/17,Total revenue,£000s,3099.0
10007799,Newcastle University,England,North East,2016/17,Total learner days of CPD/CE courses delivered,Days,15747.0
10007799,Newcastle University,England,North East,2017/18,SME,£000s,32.0
10007799,Newcastle University,England,North East,2017/18,Other (non-SME) commercial businesses,£000s,274.0
10007799,Newcastle University,England,North East,2017/18,Non-commercial organisations,£000s,1510.0
10007799,Newcastle University,England,North East,2017/18,CE and CPD for individuals,£000s,502.0
10007799,Newcastle University,England,North East,2017/18,Total revenue,£000s,2318.0
10007799,Newcastle University,England,North East,2017/18,Total learner days of CPD/CE courses delivered,Days,14843.0
10007799,Newcastle University,England,North East,2018/19,SME,£000s,15.0
10007799,Newcastle University,England,North East,2018/19,Other (non-SME) commercial businesses,£000s,306.0
10007799,Newcastle University,England,North East,2018/19,Non-commercial organisations,£000s,1679.0
10007799,Newcastle University,England,North East,2018/19,CE and CPD for individuals,£000s,633.0
10007799,Newcastle University,England,North East,2018/19,Total revenue,£000s,2633.0
10007799,Newcastle University,England,North East,2018/19,Total learner days of CPD/CE courses delivered,Days,16231.0
10007799,Newcastle University,England,North East,2019/20,SME,£000s,47.0
10007799,Newcastle University,England,North East,2019/20,Other (non-SME) commercial businesses,£000s,211.0
10007799,Newcastle University,England,North East,2019/20,Non-commercial organisations,£000s,1263.0
10007799,Newcastle University,England,North East,2019/20,CE and CPD for individuals,£000s,494.0
10007799,Newcastle University,England,North East,2019/20,Total revenue,£000s,2015.0
10007799,Newcastle University,England,North East,2019/20,Total learner days of CPD/CE courses delivered,Days,18183.0
10007799,Newcastle University,England,North East,2020/21,SME,£000s,9.0
10007799,Newcastle University,England,North East,2020/21,Other (non-SME) commercial businesses,£000s,184.0
10007799,Newcastle University,England,North East,2020/21,Non-commercial organisations,£000s,1996.0
10007799,Newcastle University,England,North East,2020/21,CE and CPD for individuals,£000s,734.0
10007799,Newcastle University,England,North East,2020/21,Total revenue,£000s,2923.0
10007799,Newcastle University,England,North East,2020/21,Total learner days of CPD/CE courses delivered,Days,15367.0
10007799,Newcastle University,England,North East,2021/22,SME,£000s,5.0
10007799,Newcastle University,England,North East,2021/22,Other (non-SME) commercial businesses,£000s,2.0
10007799,Newcastle University,England,North East,2021/22,Non-commercial organisations,£000s,1230.0
10007799,Newcastle University,England,North East,2021/22,CE and CPD for individuals,£000s,280.0
10007799,Newcastle University,England,North East,2021/22,Total revenue,£000s,1517.0
10007799,Newcastle University,England,North East,2021/22,Total learner days of CPD/CE courses delivered,Days,8479.0
10007799,Newcastle University,England,North East,2022/23,SME,£000s,4.0
10007799,Newcastle University,England,North East,2022/23,Other (non-SME) commercial businesses,£000s,46.0
10007799,Newcastle University,England,North East,2022/23,Non-commercial organisations,£000s,1483.0
10007799,Newcastle University,England,North East,2022/23,CE and CPD for individuals,£000s,115.0
10007799,Newcastle University,England,North East,2022/23,Total revenue,£000s,1648.0
10007799,Newcastle University,England,North East,2022/23,Total learner days of CPD/CE courses delivered,Days,15917.0
10007799,Newcastle University,England,North East,2023/24,SME,£000s,24.0
10007799,Newcastle University,England,North East,2023/24,Other (non-SME) commercial businesses,£000s,29.0
10007799,Newcastle University,England,North East,2023/24,Non-commercial organisations,£000s,2552.0
10007799,Newcastle University,England,North East,2023/24,CE and CPD for individuals,£000s,1345.0
10007799,Newcastle University,England,North East,2023/24,Total revenue,£000s,3950.0
10007799,Newcastle University,England,North East,2023/24,Total learner days of CPD/CE courses delivered,Days,33898.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,SME,£000s,204.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Other (non-SME) commercial businesses,£000s,941.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Non-commercial organisations,£000s,7126.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,CE and CPD for individuals,£000s,73.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Total revenue,£000s,8344.0
10001282,University of Northumbria at Newcastle,England,North East,2014/15,Total learner days of CPD/CE courses delivered,Days,112155.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,SME,£000s,284.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Other (non-SME) commercial businesses,£000s,850.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Non-commercial organisations,£000s,6855.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,CE and CPD for individuals,£000s,105.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Total revenue,£000s,8094.0
10001282,University of Northumbria at Newcastle,England,North East,2015/16,Total learner days of CPD/CE courses delivered,Days,54418.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,SME,£000s,166.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Other (non-SME) commercial businesses,£000s,398.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Non-commercial organisations,£000s,7476.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,CE and CPD for individuals,£000s,66.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Total revenue,£000s,8106.0
10001282,University of Northumbria at Newcastle,England,North East,2016/17,Total learner days of CPD/CE courses delivered,Days,43903.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,SME,£000s,101.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Other (non-SME) commercial businesses,£000s,156.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Non-commercial organisations,£000s,7698.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,CE and CPD for individuals,£000s,175.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Total revenue,£000s,8130.0
10001282,University of Northumbria at Newcastle,England,North East,2017/18,Total learner days of CPD/CE courses delivered,Days,25076.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,SME,£000s,44.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Other (non-SME) commercial businesses,£000s,77.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Non-commercial organisations,£000s,6518.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,CE and CPD for individuals,£000s,446.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Total revenue,£000s,7085.0
10001282,University of Northumbria at Newcastle,England,North East,2018/19,Total learner days of CPD/CE courses delivered,Days,26740.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,SME,£000s,10.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other (non-SME) commercial businesses,£000s,30.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Non-commercial organisations,£000s,5443.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,CE and CPD for individuals,£000s,369.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Total revenue,£000s,5852.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Total learner days of CPD/CE courses delivered,Days,17997.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,SME,£000s,2.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other (non-SME) commercial businesses,£000s,93.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Non-commercial organisations,£000s,6087.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,CE and CPD for individuals,£000s,223.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Total revenue,£000s,6405.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Total learner days of CPD/CE courses delivered,Days,18607.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,SME,£000s,6.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other (non-SME) commercial businesses,£000s,36.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Non-commercial organisations,£000s,6332.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,CE and CPD for individuals,£000s,410.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Total revenue,£000s,6784.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Total learner days of CPD/CE courses delivered,Days,22246.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,SME,£000s,10.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other (non-SME) commercial businesses,£000s,123.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Non-commercial organisations,£000s,6343.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,CE and CPD for individuals,£000s,1008.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Total revenue,£000s,7484.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Total learner days of CPD/CE courses delivered,Days,17941.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,SME,£000s,89.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other (non-SME) commercial businesses,£000s,42.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Non-commercial organisations,£000s,6952.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,CE and CPD for individuals,£000s,695.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Total revenue,£000s,7778.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Total learner days of CPD/CE courses delivered,Days,27019.0
10007159,The University of Sunderland,England,North East,2014/15,SME,£000s,135.0
10007159,The University of Sunderland,England,North East,2014/15,Other (non-SME) commercial businesses,£000s,460.0
10007159,The University of Sunderland,England,North East,2014/15,Non-commercial organisations,£000s,327.0
10007159,The University of Sunderland,England,North East,2014/15,CE and CPD for individuals,£000s,270.0
10007159,The University of Sunderland,England,North East,2014/15,Total revenue,£000s,1192.0
10007159,The University of Sunderland,England,North East,2014/15,Total learner days of CPD/CE courses delivered,Days,8677.0
10007159,The University of Sunderland,England,North East,2015/16,SME,£000s,72.0
10007159,The University of Sunderland,England,North East,2015/16,Other (non-SME) commercial businesses,£000s,106.0
10007159,The University of Sunderland,England,North East,2015/16,Non-commercial organisations,£000s,853.0
10007159,The University of Sunderland,England,North East,2015/16,CE and CPD for individuals,£000s,25.0
10007159,The University of Sunderland,England,North East,2015/16,Total revenue,£000s,1056.0
10007159,The University of Sunderland,England,North East,2015/16,Total learner days of CPD/CE courses delivered,Days,6336.0
10007159,The University of Sunderland,England,North East,2016/17,SME,£000s,74.0
10007159,The University of Sunderland,England,North East,2016/17,Other (non-SME) commercial businesses,£000s,189.0
10007159,The University of Sunderland,England,North East,2016/17,Non-commercial organisations,£000s,663.0
10007159,The University of Sunderland,England,North East,2016/17,CE and CPD for individuals,£000s,28.0
10007159,The University of Sunderland,England,North East,2016/17,Total revenue,£000s,954.0
10007159,The University of Sunderland,England,North East,2016/17,Total learner days of CPD/CE courses delivered,Days,10080.0
10007159,The University of Sunderland,England,North East,2017/18,SME,£000s,71.0
10007159,The University of Sunderland,England,North East,2017/18,Other (non-SME) commercial businesses,£000s,147.0
10007159,The University of Sunderland,England,North East,2017/18,Non-commercial organisations,£000s,1448.0
10007159,The University of Sunderland,England,North East,2017/18,CE and CPD for individuals,£000s,166.0
10007159,The University of Sunderland,England,North East,2017/18,Total revenue,£000s,1832.0
10007159,The University of Sunderland,England,North East,2017/18,Total learner days of CPD/CE courses delivered,Days,11367.0
10007159,The University of Sunderland,England,North East,2018/19,SME,£000s,114.0
10007159,The University of Sunderland,England,North East,2018/19,Other (non-SME) commercial businesses,£000s,177.0
10007159,The University of Sunderland,England,North East,2018/19,Non-commercial organisations,£000s,1578.0
10007159,The University of Sunderland,England,North East,2018/19,CE and CPD for individuals,£000s,259.0
10007159,The University of Sunderland,England,North East,2018/19,Total revenue,£000s,2128.0
10007159,The University of Sunderland,England,North East,2018/19,Total learner days of CPD/CE courses delivered,Days,10248.0
10007159,The University of Sunderland,England,North East,2019/20,SME,£000s,219.0
10007159,The University of Sunderland,England,North East,2019/20,Other (non-SME) commercial businesses,£000s,140.0
10007159,The University of Sunderland,England,North East,2019/20,Non-commercial organisations,£000s,623.0
10007159,The University of Sunderland,England,North East,2019/20,CE and CPD for individuals,£000s,298.0
10007159,The University of Sunderland,England,North East,2019/20,Total revenue,£000s,1280.0
10007159,The University of Sunderland,England,North East,2019/20,Total learner days of CPD/CE courses delivered,Days,12141.0
10007159,The University of Sunderland,England,North East,2020/21,SME,£000s,197.0
10007159,The University of Sunderland,England,North East,2020/21,Other (non-SME) commercial businesses,£000s,34.0
10007159,The University of Sunderland,England,North East,2020/21,Non-commercial organisations,£000s,480.0
10007159,The University of Sunderland,England,North East,2020/21,CE and CPD for individuals,£000s,375.0
10007159,The University of Sunderland,England,North East,2020/21,Total revenue,£000s,1086.0
10007159,The University of Sunderland,England,North East,2020/21,Total learner days of CPD/CE courses delivered,Days,7192.0
10007159,The University of Sunderland,England,North East,2021/22,SME,£000s,86.0
10007159,The University of Sunderland,England,North East,2021/22,Other (non-SME) commercial businesses,£000s,186.0
10007159,The University of Sunderland,England,North East,2021/22,Non-commercial organisations,£000s,928.0
10007159,The University of Sunderland,England,North East,2021/22,CE and CPD for individuals,£000s,170.0
10007159,The University of Sunderland,England,North East,2021/22,Total revenue,£000s,1370.0
10007159,The University of Sunderland,England,North East,2021/22,Total learner days of CPD/CE courses delivered,Days,12606.0
10007159,The University of Sunderland,England,North East,2022/23,SME,£000s,65.0
10007159,The University of Sunderland,England,North East,2022/23,Other (non-SME) commercial businesses,£000s,166.0
10007159,The University of Sunderland,England,North East,2022/23,Non-commercial organisations,£000s,973.0
10007159,The University of Sunderland,England,North East,2022/23,CE and CPD for individuals,£000s,467.0
10007159,The University of Sunderland,England,North East,2022/23,Total revenue,£000s,1671.0
10007159,The University of Sunderland,England,North East,2022/23,Total learner days of CPD/CE courses delivered,Days,17380.0
10007159,The University of Sunderland,England,North East,2023/24,SME,£000s,36.0
10007159,The University of Sunderland,England,North East,2023/24,Other (non-SME) commercial businesses,£000s,148.0
10007159,The University of Sunderland,England,North East,2023/24,Non-commercial organisations,£000s,1061.0
10007159,The University of Sunderland,England,North East,2023/24,CE and CPD for individuals,£000s,415.0
10007159,The University of Sunderland,England,North East,2023/24,Total revenue,£000s,1660.0
10007159,The University of Sunderland,England,North East,2023/24,Total learner days of CPD/CE courses delivered,Days,19558.0
10007161,Teesside University,England,North East,2014/15,SME,£000s,501.0
10007161,Teesside University,England,North East,2014/15,Other (non-SME) commercial businesses,£000s,1137.0
10007161,Teesside University,England,North East,2014/15,Non-commercial organisations,£000s,4567.0
10007161,Teesside University,England,North East,2014/15,CE and CPD for individuals,£000s,1085.0
10007161,Teesside University,England,North East,2014/15,Total revenue,£000s,7290.0
10007161,Teesside University,England,North East,2014/15,Total learner days of CPD/CE courses delivered,Days,282093.0
10007161,Teesside University,England,North East,2015/16,SME,£000s,677.0
10007161,Teesside University,England,North East,2015/16,Other (non-SME) commercial businesses,£000s,894.0
10007161,Teesside University,England,North East,2015/16,Non-commercial organisations,£000s,3676.0
10007161,Teesside University,England,North East,2015/16,CE and CPD for individuals,£000s,1491.0
10007161,Teesside University,England,North East,2015/16,Total revenue,£000s,6738.0
10007161,Teesside University,England,North East,2015/16,Total learner days of CPD/CE courses delivered,Days,241544.0
10007161,Teesside University,England,North East,2016/17,SME,£000s,588.0
10007161,Teesside University,England,North East,2016/17,Other (non-SME) commercial businesses,£000s,763.0
10007161,Teesside University,England,North East,2016/17,Non-commercial organisations,£000s,3668.0
10007161,Teesside University,England,North East,2016/17,CE and CPD for individuals,£000s,1777.0
10007161,Teesside University,England,North East,2016/17,Total revenue,£000s,6796.0
10007161,Teesside University,England,North East,2016/17,Total learner days of CPD/CE courses delivered,Days,184307.0
10007161,Teesside University,England,North East,2017/18,SME,£000s,567.0
10007161,Teesside University,England,North East,2017/18,Other (non-SME) commercial businesses,£000s,612.0
10007161,Teesside University,England,North East,2017/18,Non-commercial organisations,£000s,3125.0
10007161,Teesside University,England,North East,2017/18,CE and CPD for individuals,£000s,1569.0
10007161,Teesside University,England,North East,2017/18,Total revenue,£000s,5873.0
10007161,Teesside University,England,North East,2017/18,Total learner days of CPD/CE courses delivered,Days,184546.0
10007161,Teesside University,England,North East,2018/19,SME,£000s,558.0
10007161,Teesside University,England,North East,2018/19,Other (non-SME) commercial businesses,£000s,549.0
10007161,Teesside University,England,North East,2018/19,Non-commercial organisations,£000s,3212.0
10007161,Teesside University,England,North East,2018/19,CE and CPD for individuals,£000s,1241.0
10007161,Teesside University,England,North East,2018/19,Total revenue,£000s,5560.0
10007161,Teesside University,England,North East,2018/19,Total learner days of CPD/CE courses delivered,Days,153898.0
10007161,Teesside University,England,North East,2019/20,SME,£000s,506.0
10007161,Teesside University,England,North East,2019/20,Other (non-SME) commercial businesses,£000s,486.0
10007161,Teesside University,England,North East,2019/20,Non-commercial organisations,£000s,2702.0
10007161,Teesside University,England,North East,2019/20,CE and CPD for individuals,£000s,1538.0
10007161,Teesside University,England,North East,2019/20,Total revenue,£000s,5232.0
10007161,Teesside University,England,North East,2019/20,Total learner days of CPD/CE courses delivered,Days,154323.0
10007161,Teesside University,England,North East,2020/21,SME,£000s,468.0
10007161,Teesside University,England,North East,2020/21,Other (non-SME) commercial businesses,£000s,744.0
10007161,Teesside University,England,North East,2020/21,Non-commercial organisations,£000s,4218.0
10007161,Teesside University,England,North East,2020/21,CE and CPD for individuals,£000s,1578.0
10007161,Teesside University,England,North East,2020/21,Total revenue,£000s,7008.0
10007161,Teesside University,England,North East,2020/21,Total learner days of CPD/CE courses delivered,Days,169119.0
10007161,Teesside University,England,North East,2021/22,SME,£000s,511.0
10007161,Teesside University,England,North East,2021/22,Other (non-SME) commercial businesses,£000s,1074.0
10007161,Teesside University,England,North East,2021/22,Non-commercial organisations,£000s,4057.0
10007161,Teesside University,England,North East,2021/22,CE and CPD for individuals,£000s,2091.0
10007161,Teesside University,England,North East,2021/22,Total revenue,£000s,7733.0
10007161,Teesside University,England,North East,2021/22,Total learner days of CPD/CE courses delivered,Days,154145.0
10007161,Teesside University,England,North East,2022/23,SME,£000s,601.0
10007161,Teesside University,England,North East,2022/23,Other (non-SME) commercial businesses,£000s,667.0
10007161,Teesside University,England,North East,2022/23,Non-commercial organisations,£000s,4329.0
10007161,Teesside University,England,North East,2022/23,CE and CPD for individuals,£000s,3685.0
10007161,Teesside University,England,North East,2022/23,Total revenue,£000s,9282.0
10007161,Teesside University,England,North East,2022/23,Total learner days of CPD/CE courses delivered,Days,207716.0
10007161,Teesside University,England,North East,2023/24,SME,£000s,639.0
10007161,Teesside University,England,North East,2023/24,Other (non-SME) commercial businesses,£000s,802.0
10007161,Teesside University,England,North East,2023/24,Non-commercial organisations,£000s,5162.0
10007161,Teesside University,England,North East,2023/24,CE and CPD for individuals,£000s,3423.0
10007161,Teesside University,England,North East,2023/24,Total revenue,£000s,10026.0
10007161,Teesside University,England,North East,2023/24,Total learner days of CPD/CE courses delivered,Days,202245.0
