UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Programme,Unit,Value
10001282,University of Northumbria at Newcastle,England,North East,2019/20,ESF income,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,UK Government regeneration funds,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Other regeneration grants and income from local and regional bodies,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Total programmes,£000s,150.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Capital income (attributable to survey year),£000s,124.0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,UK shared prosperity fund,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,ERDF income,£000s,316.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,ESF income,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,UK Government regeneration funds,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Other regeneration grants and income from local and regional bodies,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Total programmes,£000s,316.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Capital income (attributable to survey year),£000s,3.0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,UK shared prosperity fund,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,ERDF income,£000s,544.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,ESF income,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,UK Government regeneration funds,£000s,72.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other regeneration grants and income from local and regional bodies,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Total programmes,£000s,616.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Capital income (attributable to survey year),£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,UK shared prosperity fund,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,ERDF income,£000s,436.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,ESF income,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,UK Government regeneration funds,£000s,66.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other regeneration grants and income from local and regional bodies,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Total programmes,£000s,502.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Capital income (attributable to survey year),£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,UK shared prosperity fund,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,ERDF income,£000s,240.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,ESF income,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,UK Government regeneration funds,£000s,18.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other regeneration grants and income from local and regional bodies,£000s,56.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Total programmes,£000s,528.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Capital income (attributable to survey year),£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,UK shared prosperity fund,£000s,214.0
10007159,The University of Sunderland,England,North East,2014/15,Other,£000s,0.0
10007159,The University of Sunderland,England,North East,2014/15,ERDF income,£000s,478.0
10007159,The University of Sunderland,England,North East,2014/15,ESF income,£000s,0.0
10007159,The University of Sunderland,England,North East,2014/15,UK Government regeneration funds,£000s,0.0
10007159,The University of Sunderland,England,North East,2014/15,Other regeneration grants and income from local and regional bodies,£000s,27.0
10007159,The University of Sunderland,England,North East,2014/15,Total programmes,£000s,505.0
10007159,The University of Sunderland,England,North East,2014/15,Capital income (attributable to survey year),£000s,0.0
10007159,The University of Sunderland,England,North East,2014/15,UK shared prosperity fund,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,Other,£000s,525.0
10007159,The University of Sunderland,England,North East,2015/16,ERDF income,£000s,3031.0
10007159,The University of Sunderland,England,North East,2015/16,ESF income,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,UK Government regeneration funds,£000s,2288.0
10007159,The University of Sunderland,England,North East,2015/16,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,Total programmes,£000s,5844.0
10007159,The University of Sunderland,England,North East,2015/16,Capital income (attributable to survey year),£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,UK shared prosperity fund,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,Other,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,ERDF income,£000s,1742.0
10007159,The University of Sunderland,England,North East,2016/17,ESF income,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,UK Government regeneration funds,£000s,532.0
10007159,The University of Sunderland,England,North East,2016/17,Other regeneration grants and income from local and regional bodies,£000s,1657.0
10007159,The University of Sunderland,England,North East,2016/17,Total programmes,£000s,3931.0
10007159,The University of Sunderland,England,North East,2016/17,Capital income (attributable to survey year),£000s,450.0
10007159,The University of Sunderland,England,North East,2016/17,UK shared prosperity fund,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,Other,£000s,153.0
10007159,The University of Sunderland,England,North East,2017/18,ERDF income,£000s,1741.0
10007159,The University of Sunderland,England,North East,2017/18,ESF income,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,UK Government regeneration funds,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,Other regeneration grants and income from local and regional bodies,£000s,409.0
10007159,The University of Sunderland,England,North East,2017/18,Total programmes,£000s,2303.0
10007159,The University of Sunderland,England,North East,2017/18,Capital income (attributable to survey year),£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,UK shared prosperity fund,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,Other,£000s,49.0
10007159,The University of Sunderland,England,North East,2018/19,ERDF income,£000s,1489.0
10007159,The University of Sunderland,England,North East,2018/19,ESF income,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,UK Government regeneration funds,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,Other regeneration grants and income from local and regional bodies,£000s,529.0
10007159,The University of Sunderland,England,North East,2018/19,Total programmes,£000s,2067.0
10007159,The University of Sunderland,England,North East,2018/19,Capital income (attributable to survey year),£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,UK shared prosperity fund,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,Other,£000s,340.0
10007159,The University of Sunderland,England,North East,2019/20,ERDF income,£000s,2119.0
10007159,The University of Sunderland,England,North East,2019/20,ESF income,£000s,291.0
10007159,The University of Sunderland,England,North East,2019/20,UK Government regeneration funds,£000s,262.0
10007159,The University of Sunderland,England,North East,2019/20,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,Total programmes,£000s,3012.0
10007159,The University of Sunderland,England,North East,2019/20,Capital income (attributable to survey year),£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,UK shared prosperity fund,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,Other,£000s,253.0
10007159,The University of Sunderland,England,North East,2020/21,ERDF income,£000s,1672.0
10007159,The University of Sunderland,England,North East,2020/21,ESF income,£000s,265.0
10007159,The University of Sunderland,England,North East,2020/21,UK Government regeneration funds,£000s,250.0
10007159,The University of Sunderland,England,North East,2020/21,Other regeneration grants and income from local and regional bodies,£000s,17.0
10007159,The University of Sunderland,England,North East,2020/21,Total programmes,£000s,2457.0
10007159,The University of Sunderland,England,North East,2020/21,Capital income (attributable to survey year),£000s,367.0
10007159,The University of Sunderland,England,North East,2020/21,UK shared prosperity fund,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,Other,£000s,359.0
10007159,The University of Sunderland,England,North East,2021/22,ERDF income,£000s,1838.0
10007159,The University of Sunderland,England,North East,2021/22,ESF income,£000s,1426.0
10007159,The University of Sunderland,England,North East,2021/22,UK Government regeneration funds,£000s,164.0
10007159,The University of Sunderland,England,North East,2021/22,Other regeneration grants and income from local and regional bodies,£000s,64.0
10007159,The University of Sunderland,England,North East,2021/22,Total programmes,£000s,3851.0
10007159,The University of Sunderland,England,North East,2021/22,Capital income (attributable to survey year),£000s,448.0
10007159,The University of Sunderland,England,North East,2021/22,UK shared prosperity fund,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other,£000s,725.0
10007159,The University of Sunderland,England,North East,2022/23,ERDF income,£000s,2383.0
10007159,The University of Sunderland,England,North East,2022/23,ESF income,£000s,2292.0
10007159,The University of Sunderland,England,North East,2022/23,UK Government regeneration funds,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other regeneration grants and income from local and regional bodies,£000s,221.0
10007159,The University of Sunderland,England,North East,2022/23,Total programmes,£000s,5621.0
10007159,The University of Sunderland,England,North East,2022/23,Capital income (attributable to survey year),£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,UK shared prosperity fund,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,Other,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,ERDF income,£000s,50.0
10007159,The University of Sunderland,England,North East,2023/24,ESF income,£000s,2898.0
10007159,The University of Sunderland,England,North East,2023/24,UK Government regeneration funds,£000s,131.0
10007159,The University of Sunderland,England,North East,2023/24,Other regeneration grants and income from local and regional bodies,£000s,704.0
10007159,The University of Sunderland,England,North East,2023/24,Total programmes,£000s,4381.0
10007159,The University of Sunderland,England,North East,2023/24,Capital income (attributable to survey year),£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,UK shared prosperity fund,£000s,598.0
10007161,Teesside University,England,North East,2014/15,Other,£000s,6.0
10007161,Teesside University,England,North East,2014/15,ERDF income,£000s,1770.0
10007161,Teesside University,England,North East,2014/15,ESF income,£000s,0.0
10007161,Teesside University,England,North East,2014/15,UK Government regeneration funds,£000s,0.0
10007161,Teesside University,England,North East,2014/15,Other regeneration grants and income from local and regional bodies,£000s,0.0
10007161,Teesside University,England,North East,2014/15,Total programmes,£000s,1776.0
10007161,Teesside University,England,North East,2014/15,Capital income (attributable to survey year),£000s,0.0
10007161,Teesside University,England,North East,2014/15,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2015/16,Other,£000s,4.0
10007161,Teesside University,England,North East,2015/16,ERDF income,£000s,1477.0
10007161,Teesside University,England,North East,2015/16,ESF income,£000s,0.0
10007161,Teesside University,England,North East,2015/16,UK Government regeneration funds,£000s,0.0
10007161,Teesside University,England,North East,2015/16,Other regeneration grants and income from local and regional bodies,£000s,13.0
10007161,Teesside University,England,North East,2015/16,Total programmes,£000s,1494.0
10007161,Teesside University,England,North East,2015/16,Capital income (attributable to survey year),£000s,0.0
10007161,Teesside University,England,North East,2015/16,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2016/17,Other,£000s,35.0
10007161,Teesside University,England,North East,2016/17,ERDF income,£000s,1014.0
10007161,Teesside University,England,North East,2016/17,ESF income,£000s,22.0
10007161,Teesside University,England,North East,2016/17,UK Government regeneration funds,£000s,0.0
10007161,Teesside University,England,North East,2016/17,Other regeneration grants and income from local and regional bodies,£000s,86.0
10007161,Teesside University,England,North East,2016/17,Total programmes,£000s,1157.0
10007161,Teesside University,England,North East,2016/17,Capital income (attributable to survey year),£000s,290.0
10007161,Teesside University,England,North East,2016/17,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2017/18,Other,£000s,37.0
10007161,Teesside University,England,North East,2017/18,ERDF income,£000s,1387.0
10007161,Teesside University,England,North East,2017/18,ESF income,£000s,48.0
10007161,Teesside University,England,North East,2017/18,UK Government regeneration funds,£000s,4.0
10007161,Teesside University,England,North East,2017/18,Other regeneration grants and income from local and regional bodies,£000s,143.0
10007161,Teesside University,England,North East,2017/18,Total programmes,£000s,1619.0
10007161,Teesside University,England,North East,2017/18,Capital income (attributable to survey year),£000s,298.0
10007161,Teesside University,England,North East,2017/18,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2018/19,Other,£000s,32.0
10007161,Teesside University,England,North East,2018/19,ERDF income,£000s,1564.0
10007161,Teesside University,England,North East,2018/19,ESF income,£000s,64.0
10007161,Teesside University,England,North East,2018/19,UK Government regeneration funds,£000s,118.0
10007161,Teesside University,England,North East,2018/19,Other regeneration grants and income from local and regional bodies,£000s,242.0
10007161,Teesside University,England,North East,2018/19,Total programmes,£000s,2020.0
10007161,Teesside University,England,North East,2018/19,Capital income (attributable to survey year),£000s,817.0
10007161,Teesside University,England,North East,2018/19,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2019/20,Other,£000s,0.0
10007161,Teesside University,England,North East,2019/20,ERDF income,£000s,1371.0
10007161,Teesside University,England,North East,2019/20,ESF income,£000s,130.0
10007161,Teesside University,England,North East,2019/20,UK Government regeneration funds,£000s,58.0
10007161,Teesside University,England,North East,2019/20,Other regeneration grants and income from local and regional bodies,£000s,262.0
10007161,Teesside University,England,North East,2019/20,Total programmes,£000s,1821.0
10007161,Teesside University,England,North East,2019/20,Capital income (attributable to survey year),£000s,1391.0
10007161,Teesside University,England,North East,2019/20,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2020/21,Other,£000s,57.0
10007161,Teesside University,England,North East,2020/21,ERDF income,£000s,1734.0
10007161,Teesside University,England,North East,2020/21,ESF income,£000s,215.0
10007161,Teesside University,England,North East,2020/21,UK Government regeneration funds,£000s,159.0
10007161,Teesside University,England,North East,2020/21,Other regeneration grants and income from local and regional bodies,£000s,306.0
10007161,Teesside University,England,North East,2020/21,Total programmes,£000s,2471.0
10007161,Teesside University,England,North East,2020/21,Capital income (attributable to survey year),£000s,1526.0
10007161,Teesside University,England,North East,2020/21,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2021/22,Other,£000s,42.0
10007161,Teesside University,England,North East,2021/22,ERDF income,£000s,2436.0
10007161,Teesside University,England,North East,2021/22,ESF income,£000s,173.0
10007161,Teesside University,England,North East,2021/22,UK Government regeneration funds,£000s,249.0
10007161,Teesside University,England,North East,2021/22,Other regeneration grants and income from local and regional bodies,£000s,427.0
10007161,Teesside University,England,North East,2021/22,Total programmes,£000s,3327.0
10007161,Teesside University,England,North East,2021/22,Capital income (attributable to survey year),£000s,1275.0
10007161,Teesside University,England,North East,2021/22,UK shared prosperity fund,£000s,0.0
10007161,Teesside University,England,North East,2022/23,Other,£000s,67.0
10007161,Teesside University,England,North East,2022/23,ERDF income,£000s,4627.0
10007161,Teesside University,England,North East,2022/23,ESF income,£000s,125.0
10007161,Teesside University,England,North East,2022/23,UK Government regeneration funds,£000s,394.0
10007161,Teesside University,England,North East,2022/23,Other regeneration grants and income from local and regional bodies,£000s,1368.0
10007161,Teesside University,England,North East,2022/23,Total programmes,£000s,6598.0
10007161,Teesside University,England,North East,2022/23,Capital income (attributable to survey year),£000s,1338.0
10007161,Teesside University,England,North East,2022/23,UK shared prosperity fund,£000s,17.0
10007161,Teesside University,England,North East,2023/24,Other,£000s,58.0
10007161,Teesside University,England,North East,2023/24,ERDF income,£000s,19.0
10007161,Teesside University,England,North East,2023/24,ESF income,£000s,40.0
10007161,Teesside University,England,North East,2023/24,UK Government regeneration funds,£000s,373.0
10007161,Teesside University,England,North East,2023/24,Other regeneration grants and income from local and regional bodies,£000s,212.0
10007161,Teesside University,England,North East,2023/24,Total programmes,£000s,941.0
10007161,Teesside University,England,North East,2023/24,Capital income (attributable to survey year),£000s,1636.0
10007161,Teesside University,England,North East,2023/24,UK shared prosperity fund,£000s,239.0
