UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Type of disclosure or patent,Value
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Number of patents granted in year,4
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Cumulative patent portfolio,30
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Number of new patent applications filed in year - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Number of patents granted in year - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Cumulative patent portfolio - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Number of new patent applications filed in year,9
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10001282,University of Northumbria at Newcastle,England,North East,2019/20,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Number of disclosures,11
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Number of patents granted in year,3
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Cumulative patent portfolio,33
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Number of new patent applications filed in year - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Number of patents granted in year - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Cumulative patent portfolio - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Number of new patent applications filed in year,2
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,1
10001282,University of Northumbria at Newcastle,England,North East,2020/21,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Number of disclosures,55
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Number of patents granted in year,10
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Cumulative patent portfolio,38
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Number of new patent applications filed in year - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Number of patents granted in year - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Cumulative patent portfolio - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Number of new patent applications filed in year,3
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Number of disclosures,35
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Number of patents granted in year,2
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Cumulative patent portfolio,44
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Number of new patent applications filed in year - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Number of patents granted in year - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Cumulative patent portfolio - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Number of new patent applications filed in year,7
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,1
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Number of disclosures,52
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Number of patents granted in year,1
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Cumulative patent portfolio,46
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Number of new patent applications filed in year - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Number of patents granted in year - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Cumulative patent portfolio - Subtotal overseas,0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Number of new patent applications filed in year,7
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,2
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2014/15,Number of disclosures,1
10007159,The University of Sunderland,England,North East,2014/15,Number of patents granted in year,3
10007159,The University of Sunderland,England,North East,2014/15,Cumulative patent portfolio,59
10007159,The University of Sunderland,England,North East,2014/15,Number of new patent applications filed in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2014/15,Number of patents granted in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2014/15,Cumulative patent portfolio - Subtotal overseas,54
10007159,The University of Sunderland,England,North East,2014/15,Number of new patent applications filed in year,0
10007159,The University of Sunderland,England,North East,2014/15,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007159,The University of Sunderland,England,North East,2014/15,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2015/16,Number of disclosures,2
10007159,The University of Sunderland,England,North East,2015/16,Number of patents granted in year,0
10007159,The University of Sunderland,England,North East,2015/16,Cumulative patent portfolio,61
10007159,The University of Sunderland,England,North East,2015/16,Number of new patent applications filed in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2015/16,Number of patents granted in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2015/16,Cumulative patent portfolio - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2015/16,Number of new patent applications filed in year,2
10007159,The University of Sunderland,England,North East,2015/16,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007159,The University of Sunderland,England,North East,2015/16,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2016/17,Number of disclosures,4
10007159,The University of Sunderland,England,North East,2016/17,Number of patents granted in year,2
10007159,The University of Sunderland,England,North East,2016/17,Cumulative patent portfolio,29
10007159,The University of Sunderland,England,North East,2016/17,Number of new patent applications filed in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2016/17,Number of patents granted in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2016/17,Cumulative patent portfolio - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2016/17,Number of new patent applications filed in year,2
10007159,The University of Sunderland,England,North East,2016/17,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007159,The University of Sunderland,England,North East,2016/17,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2017/18,Number of disclosures,0
10007159,The University of Sunderland,England,North East,2017/18,Number of patents granted in year,1
10007159,The University of Sunderland,England,North East,2017/18,Cumulative patent portfolio,14
10007159,The University of Sunderland,England,North East,2017/18,Number of new patent applications filed in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2017/18,Number of patents granted in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2017/18,Cumulative patent portfolio - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2017/18,Number of new patent applications filed in year,1
10007159,The University of Sunderland,England,North East,2017/18,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007159,The University of Sunderland,England,North East,2017/18,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2018/19,Number of disclosures,0
10007159,The University of Sunderland,England,North East,2018/19,Number of patents granted in year,0
10007159,The University of Sunderland,England,North East,2018/19,Cumulative patent portfolio,7
10007159,The University of Sunderland,England,North East,2018/19,Number of new patent applications filed in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2018/19,Number of patents granted in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2018/19,Cumulative patent portfolio - Subtotal overseas,7
10007159,The University of Sunderland,England,North East,2018/19,Number of new patent applications filed in year,1
10007159,The University of Sunderland,England,North East,2018/19,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007159,The University of Sunderland,England,North East,2018/19,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2019/20,Number of disclosures,0
10007159,The University of Sunderland,England,North East,2019/20,Number of patents granted in year,0
10007159,The University of Sunderland,England,North East,2019/20,Cumulative patent portfolio,4
10007159,The University of Sunderland,England,North East,2019/20,Number of new patent applications filed in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2019/20,Number of patents granted in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2019/20,Cumulative patent portfolio - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2019/20,Number of new patent applications filed in year,2
10007159,The University of Sunderland,England,North East,2019/20,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007159,The University of Sunderland,England,North East,2019/20,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2020/21,Number of disclosures,1
10007159,The University of Sunderland,England,North East,2020/21,Number of patents granted in year,0
10007159,The University of Sunderland,England,North East,2020/21,Cumulative patent portfolio,3
10007159,The University of Sunderland,England,North East,2020/21,Number of new patent applications filed in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2020/21,Number of patents granted in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2020/21,Cumulative patent portfolio - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2020/21,Number of new patent applications filed in year,1
10007159,The University of Sunderland,England,North East,2020/21,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007159,The University of Sunderland,England,North East,2020/21,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2021/22,Number of disclosures,11
10007159,The University of Sunderland,England,North East,2021/22,Number of patents granted in year,0
10007159,The University of Sunderland,England,North East,2021/22,Cumulative patent portfolio,7
10007159,The University of Sunderland,England,North East,2021/22,Number of new patent applications filed in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2021/22,Number of patents granted in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2021/22,Cumulative patent portfolio - Subtotal overseas,6
10007159,The University of Sunderland,England,North East,2021/22,Number of new patent applications filed in year,2
10007159,The University of Sunderland,England,North East,2021/22,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007159,The University of Sunderland,England,North East,2021/22,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2022/23,Number of disclosures,14
10007159,The University of Sunderland,England,North East,2022/23,Number of patents granted in year,2
10007159,The University of Sunderland,England,North East,2022/23,Cumulative patent portfolio,17
10007159,The University of Sunderland,England,North East,2022/23,Number of new patent applications filed in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2022/23,Number of patents granted in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2022/23,Cumulative patent portfolio - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2022/23,Number of new patent applications filed in year,0
10007159,The University of Sunderland,England,North East,2022/23,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007159,The University of Sunderland,England,North East,2022/23,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2023/24,Number of disclosures,10
10007159,The University of Sunderland,England,North East,2023/24,Number of patents granted in year,6
10007159,The University of Sunderland,England,North East,2023/24,Cumulative patent portfolio,22
10007159,The University of Sunderland,England,North East,2023/24,Number of new patent applications filed in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2023/24,Number of patents granted in year - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2023/24,Cumulative patent portfolio - Subtotal overseas,0
10007159,The University of Sunderland,England,North East,2023/24,Number of new patent applications filed in year,1
10007159,The University of Sunderland,England,North East,2023/24,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,1
10007159,The University of Sunderland,England,North East,2023/24,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007161,Teesside University,England,North East,2014/15,Number of disclosures,0
10007161,Teesside University,England,North East,2014/15,Number of patents granted in year,0
10007161,Teesside University,England,North East,2014/15,Cumulative patent portfolio,11
10007161,Teesside University,England,North East,2014/15,Number of new patent applications filed in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2014/15,Number of patents granted in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2014/15,Cumulative patent portfolio - Subtotal overseas,0
10007161,Teesside University,England,North East,2014/15,Number of new patent applications filed in year,0
10007161,Teesside University,England,North East,2014/15,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,1
10007161,Teesside University,England,North East,2014/15,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007161,Teesside University,England,North East,2015/16,Number of disclosures,0
10007161,Teesside University,England,North East,2015/16,Number of patents granted in year,2
10007161,Teesside University,England,North East,2015/16,Cumulative patent portfolio,14
10007161,Teesside University,England,North East,2015/16,Number of new patent applications filed in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2015/16,Number of patents granted in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2015/16,Cumulative patent portfolio - Subtotal overseas,0
10007161,Teesside University,England,North East,2015/16,Number of new patent applications filed in year,1
10007161,Teesside University,England,North East,2015/16,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,2
10007161,Teesside University,England,North East,2015/16,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007161,Teesside University,England,North East,2016/17,Number of disclosures,2
10007161,Teesside University,England,North East,2016/17,Number of patents granted in year,1
10007161,Teesside University,England,North East,2016/17,Cumulative patent portfolio,7
10007161,Teesside University,England,North East,2016/17,Number of new patent applications filed in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2016/17,Number of patents granted in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2016/17,Cumulative patent portfolio - Subtotal overseas,0
10007161,Teesside University,England,North East,2016/17,Number of new patent applications filed in year,0
10007161,Teesside University,England,North East,2016/17,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,2
10007161,Teesside University,England,North East,2016/17,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007161,Teesside University,England,North East,2017/18,Number of disclosures,2
10007161,Teesside University,England,North East,2017/18,Number of patents granted in year,0
10007161,Teesside University,England,North East,2017/18,Cumulative patent portfolio,8
10007161,Teesside University,England,North East,2017/18,Number of new patent applications filed in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2017/18,Number of patents granted in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2017/18,Cumulative patent portfolio - Subtotal overseas,0
10007161,Teesside University,England,North East,2017/18,Number of new patent applications filed in year,0
10007161,Teesside University,England,North East,2017/18,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,2
10007161,Teesside University,England,North East,2017/18,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007161,Teesside University,England,North East,2018/19,Number of disclosures,2
10007161,Teesside University,England,North East,2018/19,Number of patents granted in year,0
10007161,Teesside University,England,North East,2018/19,Cumulative patent portfolio,9
10007161,Teesside University,England,North East,2018/19,Number of new patent applications filed in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2018/19,Number of patents granted in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2018/19,Cumulative patent portfolio - Subtotal overseas,0
10007161,Teesside University,England,North East,2018/19,Number of new patent applications filed in year,1
10007161,Teesside University,England,North East,2018/19,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,1
10007161,Teesside University,England,North East,2018/19,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007161,Teesside University,England,North East,2019/20,Number of disclosures,1
10007161,Teesside University,England,North East,2019/20,Number of patents granted in year,0
10007161,Teesside University,England,North East,2019/20,Cumulative patent portfolio,10
10007161,Teesside University,England,North East,2019/20,Number of new patent applications filed in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2019/20,Number of patents granted in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2019/20,Cumulative patent portfolio - Subtotal overseas,0
10007161,Teesside University,England,North East,2019/20,Number of new patent applications filed in year,1
10007161,Teesside University,England,North East,2019/20,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007161,Teesside University,England,North East,2019/20,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007161,Teesside University,England,North East,2020/21,Number of disclosures,1
10007161,Teesside University,England,North East,2020/21,Number of patents granted in year,0
10007161,Teesside University,England,North East,2020/21,Cumulative patent portfolio,11
10007161,Teesside University,England,North East,2020/21,Number of new patent applications filed in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2020/21,Number of patents granted in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2020/21,Cumulative patent portfolio - Subtotal overseas,0
10007161,Teesside University,England,North East,2020/21,Number of new patent applications filed in year,1
10007161,Teesside University,England,North East,2020/21,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007161,Teesside University,England,North East,2020/21,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007161,Teesside University,England,North East,2021/22,Number of disclosures,5
10007161,Teesside University,England,North East,2021/22,Number of patents granted in year,5
10007161,Teesside University,England,North East,2021/22,Cumulative patent portfolio,23
10007161,Teesside University,England,North East,2021/22,Number of new patent applications filed in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2021/22,Number of patents granted in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2021/22,Cumulative patent portfolio - Subtotal overseas,0
10007161,Teesside University,England,North East,2021/22,Number of new patent applications filed in year,5
10007161,Teesside University,England,North East,2021/22,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,2
10007161,Teesside University,England,North East,2021/22,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007161,Teesside University,England,North East,2022/23,Number of disclosures,3
10007161,Teesside University,England,North East,2022/23,Number of patents granted in year,0
10007161,Teesside University,England,North East,2022/23,Cumulative patent portfolio,12
10007161,Teesside University,England,North East,2022/23,Number of new patent applications filed in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2022/23,Number of patents granted in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2022/23,Cumulative patent portfolio - Subtotal overseas,0
10007161,Teesside University,England,North East,2022/23,Number of new patent applications filed in year,2
10007161,Teesside University,England,North East,2022/23,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,0
10007161,Teesside University,England,North East,2022/23,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
10007161,Teesside University,England,North East,2023/24,Number of disclosures,7
10007161,Teesside University,England,North East,2023/24,Number of patents granted in year,0
10007161,Teesside University,England,North East,2023/24,Cumulative patent portfolio,12
10007161,Teesside University,England,North East,2023/24,Number of new patent applications filed in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2023/24,Number of patents granted in year - Subtotal overseas,0
10007161,Teesside University,England,North East,2023/24,Cumulative patent portfolio - Subtotal overseas,0
10007161,Teesside University,England,North East,2023/24,Number of new patent applications filed in year,0
10007161,Teesside University,England,North East,2023/24,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor,2
10007161,Teesside University,England,North East,2023/24,Number of patents filed by an external party naming the HEP as a co-applicant or staff as a named inventor - Subtotal overseas,0
